"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R36_CELL3","0603","48.3mm","-15.4mm","48.3mm","-15.4mm","47.45mm","-15.4mm","T","360.00","100R"
"R36_CELL4","0603","48.3mm","-10.8mm","48.3mm","-10.8mm","47.45mm","-10.8mm","T","360.00","100R"
"R36_CELL5","0603","48.3mm","-6.2mm","48.3mm","-6.2mm","47.45mm","-6.2mm","T","360.00","100R"
"R36_CELL6","0603","48.3mm","-1.6mm","48.3mm","-1.6mm","47.45mm","-1.6mm","T","360.00","100R"
"R36_CELL7","0603","48.3mm","3mm","48.3mm","3mm","47.45mm","3mm","T","360.00","100R"
"R36_CELL8","0603","48.3mm","7.6mm","48.3mm","7.6mm","47.45mm","7.6mm","T","360.00","100R"
"R36_CELL9","0603","48.3mm","12.2mm","48.3mm","12.2mm","47.45mm","12.2mm","T","360.00","100R"
"R36_CELL10","0603","48.3mm","16.8mm","48.3mm","16.8mm","47.45mm","16.8mm","T","360.00","100R"
"R36_CELL11","0603","48.3mm","21.4mm","48.3mm","21.4mm","47.45mm","21.4mm","T","360.00","100R"
"R36_CELL12","0603","48.3mm","26mm","48.3mm","26mm","47.45mm","26mm","T","360.00","100R"
"R37_CELL1","0603","48.3mm","-26.6mm","48.3mm","-26.6mm","47.45mm","-26.6mm","T","360.00","3.3K"
"R37_CELL2","0603","48.3mm","-22mm","48.3mm","-22mm","47.45mm","-22mm","T","360.00","3.3K"
"R37_CELL3","0603","48.3mm","-17.4mm","48.3mm","-17.4mm","47.45mm","-17.4mm","T","360.00","3.3K"
"R37_CELL4","0603","48.3mm","-12.8mm","48.3mm","-12.8mm","47.45mm","-12.8mm","T","360.00","3.3K"
"R37_CELL5","0603","48.3mm","-8.2mm","48.3mm","-8.2mm","47.45mm","-8.2mm","T","360.00","3.3K"
"R37_CELL6","0603","48.3mm","-3.6mm","48.3mm","-3.6mm","47.45mm","-3.6mm","T","360.00","3.3K"
"R37_CELL7","0603","48.3mm","1mm","48.3mm","1mm","47.45mm","1mm","T","360.00","3.3K"
"R37_CELL8","0603","48.3mm","5.6mm","48.3mm","5.6mm","47.45mm","5.6mm","T","360.00","3.3K"
"R37_CELL9","0603","48.3mm","10.2mm","48.3mm","10.2mm","47.45mm","10.2mm","T","360.00","3.3K"
"R37_CELL10","0603","48.3mm","14.8mm","48.3mm","14.8mm","47.45mm","14.8mm","T","360.00","3.3K"
"R37_CELL11","0603","48.3mm","19.4mm","48.3mm","19.4mm","47.45mm","19.4mm","T","360.00","3.3K"
"R37_CELL12","0603","48.3mm","24mm","48.3mm","24mm","47.45mm","24mm","T","360.00","3.3K"
"R38_CELL1","2512","38.8mm","-25.6mm","38.8mm","-25.6mm","35.65mm","-25.6mm","T","360.00","10R"
"R38_CELL2","2512","38.8mm","-21mm","38.8mm","-21mm","35.65mm","-21mm","T","360.00","10R"
"R38_CELL3","2512","38.8mm","-16.4mm","38.8mm","-16.4mm","35.65mm","-16.4mm","T","360.00","10R"
"R38_CELL4","2512","38.8mm","-11.8mm","38.8mm","-11.8mm","35.65mm","-11.8mm","T","360.00","10R"
"R38_CELL5","2512","38.8mm","-7.2mm","38.8mm","-7.2mm","35.65mm","-7.2mm","T","360.00","10R"
"R38_CELL6","2512","38.8mm","-2.6mm","38.8mm","-2.6mm","35.65mm","-2.6mm","T","360.00","10R"
"R38_CELL7","2512","38.8mm","2mm","38.8mm","2mm","35.65mm","2mm","T","360.00","10R"
"R38_CELL8","2512","38.8mm","6.6mm","38.8mm","6.6mm","35.65mm","6.6mm","T","360.00","10R"
"R38_CELL9","2512","38.8mm","11.2mm","38.8mm","11.2mm","35.65mm","11.2mm","T","360.00","10R"
"R38_CELL10","2512","38.8mm","15.8mm","38.8mm","15.8mm","35.65mm","15.8mm","T","360.00","10R"
"R38_CELL11","2512","38.8mm","20.4mm","38.8mm","20.4mm","35.65mm","20.4mm","T","360.00","10R"
"R38_CELL12","2512","38.8mm","25mm","38.8mm","25mm","35.65mm","25mm","T","360.00","10R"
"C11","C0402","79.6mm","-7.9mm","79.6mm","-7.9mm","79.1mm","-7.9mm","T","360.00","100nF"
"C12","C0402","79.6mm","-6.9mm","79.6mm","-6.9mm","79.1mm","-6.9mm","T","360.00","1uF"
"C1","C0402","70.9mm","9.1mm","70.9mm","9.1mm","71.2536mm","9.4535mm","T","225.00","100nF"
"C2","C0402","73.3mm","0.1mm","73.3mm","0.1mm","72.9464mm","0.4536mm","T","315.00","100nF"
"C3","C0402","81.4mm","3.5mm","81.4mm","3.5mm","81.0464mm","3.1465mm","T","45.00","100nF"
"C5","C0402","67.5mm","6.2mm","67.5mm","6.2mm","67mm","6.2mm","T","0.00","100nF"
"C6","C0402","72.4mm","-5.1mm","72.4mm","-5.1mm","72.4mm","-5.6mm","T","90.00","100nF"
"C7","C0402","81.2mm","-1.3mm","81.2mm","-1.3mm","81.2mm","-0.8mm","T","270.00","100nF"
"C26","C0603","88.9mm","-11.3mm","88.9mm","-11.3mm","88.9mm","-12.15mm","T","90.00","1uF"
"C27","C0402","67.5mm","8.3mm","67.5mm","8.3mm","67mm","8.3mm","T","360.00","100nF"
"C28","C0402","87.8mm","-4.8mm","87.8mm","-4.8mm","87.8mm","-4.3mm","T","270.00","100nF"
"C29","C0402","88.9mm","-4.8mm","88.9mm","-4.8mm","88.9mm","-4.3mm","T","270.00","1uF"
"C30","C-0805","90.9mm","-5.3mm","90.9mm","-5.3mm","90.9mm","-4.425mm","T","270.00","10nF"
"C31","C-1206","84.5mm","14.8mm","84.5mm","14.8mm","83mm","14.8mm","T","360.00","1uF"
"C32","C-1206","89.6mm","14.8mm","89.6mm","14.8mm","91.1mm","14.8mm","T","180.00","1uF"
