"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R5","0402","66mm","-14mm","66mm","-14mm","66mm","-13.5mm","T","270.00","240"
"R4","0402","65mm","-14mm","65mm","-14mm","65mm","-13.5mm","T","270.00","240"
"L1","WE-TPC_4828,_MH","82mm","19.5mm","82mm","19.5mm","82mm","17.225mm","T","90.00","150uH 0.42A"
"J11","EVQPLM","61.2mm","15.4mm","61.2mm","15.4mm","58.8mm","13.55mm","T","90.00","EVQPLMA15"
"J10","53261-0571","72mm","26.075mm","72mm","27.55mm","69.5mm","24.6mm","B","360.00","53261-0571"
"J8","7460408_HAL_Surface","130mm","20mm","130mm","20mm","126.19mm","18.73mm","T","0.00","M5 Bush"
"J3","7460408_HAL_Surface","100mm","-20mm","100mm","-20mm","96.19mm","-21.27mm","T","0.00","M5 Bush"
"J2","7460408_HAL_Surface","100mm","20mm","100mm","20mm","96.19mm","18.73mm","T","0.00","M5 Bush"
"J1","7460408_HAL_Surface","130mm","-20mm","130mm","-20mm","126.19mm","-21.27mm","T","0.00","M5 Bush"
"IC6","MSOP10","83.9mm","-4mm","83.9mm","-4mm","81.7mm","-3mm","T","360.00","ISL28022"
"IC5","QFN24","61.9mm","-17.7mm","61.9mm","-17.7mm","63.15mm","-15.7mm","T","270.00","CP2104-F03-GM"
"IC3","PWSON10","87mm","19.5mm","87mm","19.5mm","86mm","18.025mm","T","360.00","LM5165YDRCT"
"IC2","SO-8","76.7mm","-3.7mm","76.7mm","-3.7mm","74.1mm","-1.795mm","T","360.00","W25Q128FVSIG"
